# l                Dl               -dDl             +dDl
# Planck PR4 / NPIPE best-fit TE spectra (Tristram+2021)
# doi:10.1051/0004-6361/202039585
  1.22000000e+02  -3.70386327e+01  7.68016810e+00  7.68016810e+00
  1.23000000e+02  -3.75808266e+01  7.73069208e+00  7.73069208e+00
  1.24000000e+02  -3.81110747e+01  7.78013403e+00  7.78013403e+00
  1.25000000e+02  -3.86289186e+01  7.82848424e+00  7.82848424e+00
  1.26000000e+02  -3.91338261e+01  7.87562833e+00  7.87562833e+00
  1.27000000e+02  -3.96251904e+01  7.92167092e+00  7.92167092e+00
  1.28000000e+02  -4.01025537e+01  7.96648031e+00  7.96648031e+00
  1.29000000e+02  -4.05653838e+01  8.01005820e+00  8.01005820e+00
  1.30000000e+02  -4.10130743e+01  8.05238993e+00  8.05238993e+00
  1.31000000e+02  -4.14451717e+01  8.09344280e+00  8.09344280e+00
  1.32000000e+02  -4.18611647e+01  8.13321807e+00  8.13321807e+00
  1.33000000e+02  -4.22606206e+01  8.17164449e+00  8.17164449e+00
  1.34000000e+02  -4.26429579e+01  8.20874230e+00  8.20874230e+00
  1.35000000e+02  -4.30078928e+01  8.24456723e+00  8.24456723e+00
  1.36000000e+02  -4.33547699e+01  8.27899897e+00  8.27899897e+00
  1.37000000e+02  -4.36831567e+01  8.31211162e+00  8.31211162e+00
  1.38000000e+02  -4.39926951e+01  8.34386841e+00  8.34386841e+00
  1.39000000e+02  -4.42829530e+01  8.37428511e+00  8.37428511e+00
  1.40000000e+02  -4.45534981e+01  8.40336808e+00  8.40336808e+00
  1.41000000e+02  -4.48039727e+01  8.43103149e+00  8.43103149e+00
  1.42000000e+02  -4.50338704e+01  8.45738508e+00  8.45738508e+00
  1.43000000e+02  -4.52429080e+01  8.48235706e+00  8.48235706e+00
  1.44000000e+02  -4.54306535e+01  8.50598184e+00  8.50598184e+00
  1.45000000e+02  -4.55966010e+01  8.52822071e+00  8.52822071e+00
  1.46000000e+02  -4.57405416e+01  8.54909738e+00  8.54909738e+00
  1.47000000e+02  -4.58618951e+01  8.56859322e+00  8.56859322e+00
  1.48000000e+02  -4.59603787e+01  8.58672088e+00  8.58672088e+00
  1.49000000e+02  -4.60355607e+01  8.60345676e+00  8.60345676e+00
  1.50000000e+02  -4.60870099e+01  8.61886497e+00  8.61886497e+00
  1.51000000e+02  -4.61144411e+01  8.63291072e+00  8.63291072e+00
  1.52000000e+02  -4.61175591e+01  8.64567209e+00  8.64567209e+00
  1.53000000e+02  -4.60960666e+01  8.65713443e+00  8.65713443e+00
  1.54000000e+02  -4.60498148e+01  8.66736091e+00  8.66736091e+00
  1.55000000e+02  -4.59784321e+01  8.67635997e+00  8.67635997e+00
  1.56000000e+02  -4.58817698e+01  8.68414022e+00  8.68414022e+00
  1.57000000e+02  -4.57595307e+01  8.69075022e+00  8.69075022e+00
  1.58000000e+02  -4.56114919e+01  8.69618499e+00  8.69618499e+00
  1.59000000e+02  -4.54374307e+01  8.70054528e+00  8.70054528e+00
  1.60000000e+02  -4.52371986e+01  8.70377442e+00  8.70377442e+00
  1.61000000e+02  -4.50104985e+01  8.70596181e+00  8.70596181e+00
  1.62000000e+02  -4.47572564e+01  8.70707946e+00  8.70707946e+00
  1.63000000e+02  -4.44771010e+01  8.70723231e+00  8.70723231e+00
  1.64000000e+02  -4.41700325e+01  8.70639378e+00  8.70639378e+00
  1.65000000e+02  -4.38357542e+01  8.70462379e+00  8.70462379e+00
  1.66000000e+02  -4.34741919e+01  8.70195189e+00  8.70195189e+00
  1.67000000e+02  -4.30851975e+01  8.69840655e+00  8.69840655e+00
  1.68000000e+02  -4.26688456e+01  8.69410529e+00  8.69410529e+00
  1.69000000e+02  -4.22249880e+01  8.68903642e+00  8.68903642e+00
  1.70000000e+02  -4.17535509e+01  8.68333364e+00  8.68333364e+00
  1.71000000e+02  -4.12544602e+01  8.67698271e+00  8.67698271e+00
  1.72000000e+02  -4.07277164e+01  8.67011790e+00  8.67011790e+00
  1.73000000e+02  -4.01732457e+01  8.66273531e+00  8.66273531e+00
  1.74000000e+02  -3.95910485e+01  8.65494257e+00  8.65494257e+00
  1.75000000e+02  -3.89812737e+01  8.64678208e+00  8.64678208e+00
  1.76000000e+02  -3.83438493e+01  8.63831657e+00  8.63831657e+00
  1.77000000e+02  -3.76787842e+01  8.62962499e+00  8.62962499e+00
  1.78000000e+02  -3.69861633e+01  8.62076634e+00  8.62076634e+00
  1.79000000e+02  -3.62659974e+01  8.61178070e+00  8.61178070e+00
  1.80000000e+02  -3.55184456e+01  8.60276157e+00  8.60276157e+00
  1.81000000e+02  -3.47436673e+01  8.59375353e+00  8.59375353e+00
  1.82000000e+02  -3.39417472e+01  8.58487447e+00  8.58487447e+00
  1.83000000e+02  -3.31128446e+01  8.57613666e+00  8.57613666e+00
  1.84000000e+02  -3.22571929e+01  8.56760206e+00  8.56760206e+00
  1.85000000e+02  -3.13747283e+01  8.55943021e+00  8.55943021e+00
  1.86000000e+02  -3.04658329e+01  8.55165978e+00  8.55165978e+00
  1.87000000e+02  -2.95305913e+01  8.54438513e+00  8.54438513e+00
  1.88000000e+02  -2.85693112e+01  8.53768924e+00  8.53768924e+00
  1.89000000e+02  -2.75821515e+01  8.53161690e+00  8.53161690e+00
  1.90000000e+02  -2.65694197e+01  8.52632048e+00  8.52632048e+00
  1.91000000e+02  -2.55314233e+01  8.52181872e+00  8.52181872e+00
  1.92000000e+02  -2.44682468e+01  8.51824298e+00  8.51824298e+00
  1.93000000e+02  -2.33801975e+01  8.51563650e+00  8.51563650e+00
  1.94000000e+02  -2.22677313e+01  8.51407220e+00  8.51407220e+00
  1.95000000e+02  -2.11310812e+01  8.51364418e+00  8.51364418e+00
  1.96000000e+02  -1.99707028e+01  8.51443642e+00  8.51443642e+00
  1.97000000e+02  -1.87869033e+01  8.51649779e+00  8.51649779e+00
  1.98000000e+02  -1.75800638e+01  8.51989671e+00  8.51989671e+00
  1.99000000e+02  -1.63504915e+01  8.52470033e+00  8.52470033e+00
  2.00000000e+02  -1.50987159e+01  8.53099071e+00  8.53099071e+00
  2.01000000e+02  -1.38249692e+01  8.53882205e+00  8.53882205e+00
  2.02000000e+02  -1.25298529e+01  8.54826124e+00  8.54826124e+00
  2.03000000e+02  -1.12135965e+01  8.55937335e+00  8.55937335e+00
  2.04000000e+02  -9.87672689e+00  8.57222682e+00  8.57222682e+00
  2.05000000e+02  -8.51969619e+00  8.58685009e+00  8.58685009e+00
  2.06000000e+02  -7.14288235e+00  8.60331009e+00  8.60331009e+00
  2.07000000e+02  -5.74667056e+00  8.62166174e+00  8.62166174e+00
  2.08000000e+02  -4.33166878e+00  8.64194681e+00  8.64194681e+00
  2.09000000e+02  -2.89841801e+00  8.66417586e+00  8.66417586e+00
  2.10000000e+02  -1.44748138e+00  8.68840255e+00  8.68840255e+00
  2.11000000e+02  2.05869874e-02  8.71466247e+00  8.71466247e+00
