# l                Dl               -dDl             +dDl
# Planck PR4 / NPIPE best-fit EE spectra (Tristram+2021)
# doi:10.1051/0004-6361/202039585
  1.82000000e+02  8.02284798e-01  3.08061941e-01  3.08061941e-01
  1.83000000e+02  7.92269187e-01  3.08764217e-01  3.08764217e-01
  1.84000000e+02  7.82505493e-01  3.09502238e-01  3.09502238e-01
  1.85000000e+02  7.73031081e-01  3.10278418e-01  3.10278418e-01
  1.86000000e+02  7.63868456e-01  3.11095209e-01  3.11095209e-01
  1.87000000e+02  7.55048282e-01  3.11955025e-01  3.11955025e-01
  1.88000000e+02  7.46610873e-01  3.12860268e-01  3.12860268e-01
  1.89000000e+02  7.38587619e-01  3.13813244e-01  3.13813244e-01
  1.90000000e+02  7.31012874e-01  3.14816262e-01  3.14816262e-01
  1.91000000e+02  7.23918754e-01  3.15871593e-01  3.15871593e-01
  1.92000000e+02  7.17340338e-01  3.16981484e-01  3.16981484e-01
  1.93000000e+02  7.11311208e-01  3.18148149e-01  3.18148149e-01
  1.94000000e+02  7.05867167e-01  3.19373764e-01  3.19373764e-01
  1.95000000e+02  7.01044009e-01  3.20660486e-01  3.20660486e-01
  1.96000000e+02  6.96877517e-01  3.22010470e-01  3.22010470e-01
  1.97000000e+02  6.93404949e-01  3.23425829e-01  3.23425829e-01
  1.98000000e+02  6.90662072e-01  3.24908690e-01  3.24908690e-01
  1.99000000e+02  6.88684638e-01  3.26461119e-01  3.26461119e-01
  2.00000000e+02  6.87508392e-01  3.28085334e-01  3.28085334e-01
  2.01000000e+02  6.87171249e-01  3.29783455e-01  3.29783455e-01
  2.02000000e+02  6.87708692e-01  3.31557713e-01  3.31557713e-01
  2.03000000e+02  6.89157632e-01  3.33410376e-01  3.33410376e-01
  2.04000000e+02  6.91554228e-01  3.35343651e-01  3.35343651e-01
  2.05000000e+02  6.94935369e-01  3.37359803e-01  3.37359803e-01
  2.06000000e+02  6.99336451e-01  3.39461045e-01  3.39461045e-01
  2.07000000e+02  7.04795087e-01  3.41649594e-01  3.41649594e-01
  2.08000000e+02  7.11347393e-01  3.43927708e-01  3.43927708e-01
  2.09000000e+02  7.19028734e-01  3.46297625e-01  3.46297625e-01
  2.10000000e+02  7.27876692e-01  3.48761576e-01  3.48761576e-01
  2.11000000e+02  7.37928097e-01  3.51321848e-01  3.51321848e-01
  2.12000000e+02  7.49217540e-01  3.53980684e-01  3.53980684e-01
  2.13000000e+02  7.61782573e-01  3.56740371e-01  3.56740371e-01
  2.14000000e+02  7.75659995e-01  3.59603194e-01  3.59603194e-01
  2.15000000e+02  7.90879167e-01  3.62571509e-01  3.62571509e-01
  2.16000000e+02  8.07485040e-01  3.65647673e-01  3.65647673e-01
  2.17000000e+02  8.25506956e-01  3.68833907e-01  3.68833907e-01
  2.18000000e+02  8.44974245e-01  3.72132180e-01  3.72132180e-01
  2.19000000e+02  8.65931087e-01  3.75544480e-01  3.75544480e-01
  2.20000000e+02  8.88406794e-01  3.79072798e-01  3.79072798e-01
  2.21000000e+02  9.12430670e-01  3.82719131e-01  3.82719131e-01
  2.22000000e+02  9.38046866e-01  3.86485488e-01  3.86485488e-01
  2.23000000e+02  9.65277239e-01  3.90373930e-01  3.90373930e-01
  2.24000000e+02  9.94158492e-01  3.94386480e-01  3.94386480e-01
  2.25000000e+02  1.02471247e+00  3.98525250e-01  3.98525250e-01
  2.26000000e+02  1.05698328e+00  4.02792282e-01  4.02792282e-01
  2.27000000e+02  1.09100017e+00  4.07189748e-01  4.07189748e-01
  2.28000000e+02  1.12678497e+00  4.11719708e-01  4.11719708e-01
  2.29000000e+02  1.16437433e+00  4.16384345e-01  4.16384345e-01
  2.30000000e+02  1.20379749e+00  4.21185777e-01  4.21185777e-01
  2.31000000e+02  1.24506879e+00  4.26126179e-01  4.26126179e-01
  2.32000000e+02  1.28822490e+00  4.31207815e-01  4.31207815e-01
  2.33000000e+02  1.33329500e+00  4.36432785e-01  4.36432785e-01
  2.34000000e+02  1.38030088e+00  4.41803077e-01  4.41803077e-01
  2.35000000e+02  1.42927172e+00  4.47320087e-01  4.47320087e-01
  2.36000000e+02  1.48023670e+00  4.52985027e-01  4.52985027e-01
  2.37000000e+02  1.53320274e+00  4.58799066e-01  4.58799066e-01
  2.38000000e+02  1.58819900e+00  4.64763445e-01  4.64763445e-01
  2.39000000e+02  1.64523979e+00  4.70879355e-01  4.70879355e-01
  2.40000000e+02  1.70436171e+00  4.77147999e-01  4.77147999e-01
  2.41000000e+02  1.76557906e+00  4.83570585e-01  4.83570585e-01
  2.42000000e+02  1.82890614e+00  4.90148308e-01  4.90148308e-01
  2.43000000e+02  1.89436468e+00  4.96882387e-01  4.96882387e-01
