# ell,Dl_TT,Dl_EE,Dl_TE
5.700000000000000000e+01,1.559194713217633307e+03,1.820240774805130524e-01,-1.018270009427927114e+00
5.800000000000000000e+01,1.580569521571179394e+03,1.919626502072662999e-01,-1.299973996103215290e+00
5.900000000000000000e+01,1.602133801179818420e+03,2.021951832843632835e-01,-1.595713473182109432e+00
6.000000000000000000e+01,1.623866503623534300e+03,2.127132377427763676e-01,-1.904952015363990059e+00
6.100000000000000000e+01,1.645774334102413604e+03,2.235093955891656881e-01,-2.227191862360186736e+00
6.200000000000000000e+01,1.667863632149507112e+03,2.345803231707830894e-01,-2.562446422783727140e+00
6.300000000000000000e+01,1.690153639496532151e+03,2.459244504839120105e-01,-2.910871732279235236e+00
6.400000000000000000e+01,1.712648744946126726e+03,2.575394650013471121e-01,-3.272616380086991406e+00
6.500000000000000000e+01,1.735375612441503563e+03,2.694252819853982239e-01,-3.647888341401003487e+00
6.600000000000000000e+01,1.758372504100230117e+03,2.815750476556791448e-01,-4.036915267954813480e+00
6.700000000000000000e+01,1.781620121288510745e+03,2.939815638763976779e-01,-4.439164475653413433e+00
6.800000000000000000e+01,1.805081061003158311e+03,3.066345764182090705e-01,-4.853907617408364850e+00
6.900000000000000000e+01,1.828710492794420588e+03,3.195260591140395290e-01,-5.280446036759855133e+00
7.000000000000000000e+01,1.852478435653656106e+03,3.326487288075860027e-01,-5.718274133458149500e+00
7.100000000000000000e+01,1.876362705599848368e+03,3.459978485478251709e-01,-6.167196411279906698e+00
7.200000000000000000e+01,1.900476270899848942e+03,3.595692114043430587e-01,-6.628087027178747981e+00
7.300000000000000000e+01,1.924932471315913745e+03,3.733574439928645794e-01,-7.101870348946849099e+00
7.400000000000000000e+01,1.949740686236111287e+03,3.873512331826539645e-01,-7.588401451705719225e+00
7.500000000000000000e+01,1.974902867876884329e+03,4.015385241127408800e-01,-8.087201256621815659e+00
7.600000000000000000e+01,2.000374800860117375e+03,4.159051181601120528e-01,-8.597704227183381676e+00
7.700000000000000000e+01,2.026031562652105549e+03,4.304401199985237736e-01,-9.118464349978005146e+00
7.800000000000000000e+01,2.051858001458034778e+03,4.451312332630973367e-01,-9.649040724446455997e+00
7.900000000000000000e+01,2.077898369351514248e+03,4.599669053047243938e-01,-1.018928948151133085e+01
8.000000000000000000e+01,2.104174640524934148e+03,4.749355847074458459e-01,-1.073921527289012801e+01
8.100000000000000000e+01,2.130711031163921689e+03,4.900256410919322514e-01,-1.129859861659651443e+01
8.200000000000000000e+01,2.157518451312284014e+03,5.052266094761102000e-01,-1.186706602982438419e+01
8.300000000000000000e+01,2.184572925160831346e+03,5.205264609470220405e-01,-1.244439118091492524e+01
8.400000000000000000e+01,2.211872753324277255e+03,5.359139107058730200e-01,-1.303005072870865355e+01
