# ell,Dl_TT (LCDM PR4 best-fit)
3.150000000000000000e+02,3.564353868012543444e+03
3.160000000000000000e+02,3.530633195423576126e+03
3.170000000000000000e+02,3.497007782141681218e+03
3.180000000000000000e+02,3.463492387082552796e+03
3.190000000000000000e+02,3.430086910184588760e+03
3.200000000000000000e+02,3.396798677339771530e+03
3.210000000000000000e+02,3.363657296979504736e+03
3.220000000000000000e+02,3.330647804814293977e+03
3.230000000000000000e+02,3.297799803936612079e+03
3.240000000000000000e+02,3.265105752877238501e+03
3.250000000000000000e+02,3.232587820677030322e+03
3.260000000000000000e+02,3.200245888366257077e+03
3.270000000000000000e+02,3.168094690659543176e+03
3.280000000000000000e+02,3.136141530862364561e+03
3.290000000000000000e+02,3.104393709192921051e+03
3.300000000000000000e+02,3.072865951119114925e+03
3.310000000000000000e+02,3.041558122310218096e+03
3.320000000000000000e+02,3.010484942056458749e+03
3.330000000000000000e+02,2.979646269903102620e+03
3.340000000000000000e+02,2.949056819103235284e+03
3.350000000000000000e+02,2.918731299985803162e+03
3.360000000000000000e+02,2.888669563340349214e+03
3.370000000000000000e+02,2.858878885569473368e+03
3.380000000000000000e+02,2.829366540456419443e+03
3.390000000000000000e+02,2.800147227648815715e+03
3.400000000000000000e+02,2.771228216106706896e+03
3.410000000000000000e+02,2.742609344265387335e+03
3.420000000000000000e+02,2.714297876912195534e+03
3.430000000000000000e+02,2.686301077025053019e+03
3.440000000000000000e+02,2.658618777622424204e+03
3.450000000000000000e+02,2.631258238674311542e+03
3.460000000000000000e+02,2.604226718971511673e+03
3.470000000000000000e+02,2.577524048002598647e+03
3.480000000000000000e+02,2.551157482887980223e+03
3.490000000000000000e+02,2.525141708618369194e+03
3.500000000000000000e+02,2.499476553245932337e+03
3.510000000000000000e+02,2.474176696184714274e+03
3.520000000000000000e+02,2.449249367370887740e+03
3.530000000000000000e+02,2.424694363539246751e+03
3.540000000000000000e+02,2.400518910508770659e+03
3.550000000000000000e+02,2.376737663419225100e+03
3.560000000000000000e+02,2.353342993561284857e+03
3.570000000000000000e+02,2.330342130352044478e+03
3.580000000000000000e+02,2.307742304850590699e+03
3.590000000000000000e+02,2.285543321614380147e+03
3.600000000000000000e+02,2.263744987245506763e+03
3.610000000000000000e+02,2.242354538925266752e+03
3.620000000000000000e+02,2.221371787885310368e+03
3.630000000000000000e+02,2.200811404616491018e+03
3.640000000000000000e+02,2.180658348911169469e+03
3.650000000000000000e+02,2.160934725144339154e+03
3.660000000000000000e+02,2.141632927234810268e+03
3.670000000000000000e+02,2.122760208844344561e+03
3.680000000000000000e+02,2.104316398408478108e+03
3.690000000000000000e+02,2.086301327552204839e+03
3.700000000000000000e+02,2.068729687839774670e+03
3.710000000000000000e+02,2.051586460706550042e+03
3.720000000000000000e+02,2.034886344278695333e+03
3.730000000000000000e+02,2.018621754923903609e+03
3.740000000000000000e+02,2.002799968990450452e+03
3.750000000000000000e+02,1.987413409380008943e+03
3.760000000000000000e+02,1.972469358909275570e+03
3.770000000000000000e+02,1.957975103557789907e+03
3.780000000000000000e+02,1.943915647354217299e+03
3.790000000000000000e+02,1.930305710754915253e+03
3.800000000000000000e+02,1.917145160460220950e+03
3.810000000000000000e+02,1.904426437674683712e+03
3.820000000000000000e+02,1.892156843061297877e+03
3.830000000000000000e+02,1.880336251589086942e+03
3.840000000000000000e+02,1.868957112427654465e+03
3.850000000000000000e+02,1.858019305539870174e+03
3.860000000000000000e+02,1.847530141573094170e+03
3.870000000000000000e+02,1.837489505050359185e+03
3.880000000000000000e+02,1.827882425913650195e+03
3.890000000000000000e+02,1.818716221171906454e+03
3.900000000000000000e+02,1.809990781401321101e+03
3.910000000000000000e+02,1.801705999002730778e+03
3.920000000000000000e+02,1.793846911415291743e+03
3.930000000000000000e+02,1.786428271140361630e+03
3.940000000000000000e+02,1.779435118871127997e+03
3.950000000000000000e+02,1.772867353535969642e+03
3.960000000000000000e+02,1.766724875550902198e+03
3.970000000000000000e+02,1.761000158434137802e+03
3.980000000000000000e+02,1.755700533834138923e+03
3.990000000000000000e+02,1.750818478118939993e+03
4.000000000000000000e+02,1.746353897430649795e+03
4.010000000000000000e+02,1.742306697045284182e+03
4.020000000000000000e+02,1.738669346131720658e+03
4.030000000000000000e+02,1.735441741419359460e+03
4.040000000000000000e+02,1.732623781214020710e+03
4.050000000000000000e+02,1.730200508769698445e+03
4.060000000000000000e+02,1.728171825774855733e+03
4.070000000000000000e+02,1.726537635749769152e+03
4.080000000000000000e+02,1.725290415806017791e+03
4.090000000000000000e+02,1.724415216767372385e+03
4.100000000000000000e+02,1.723926805052216650e+03
4.110000000000000000e+02,1.723795379311532997e+03
4.120000000000000000e+02,1.724035710780644195e+03
4.130000000000000000e+02,1.724640288282812662e+03
4.140000000000000000e+02,1.725601603441728457e+03
4.150000000000000000e+02,1.726904722497596367e+03
4.160000000000000000e+02,1.728564428227988174e+03
4.170000000000000000e+02,1.730558364967069338e+03
4.180000000000000000e+02,1.732893893929799106e+03
4.190000000000000000e+02,1.735556094931164807e+03
