# t, Delta(t)  [phase-difference convergence to Delta*]
4.301075268817204744e+01,5.608034321348803058e-03
4.401100275068767331e+01,5.608023832925575040e-03
4.501125281320330629e+01,5.608017114382941350e-03
4.601150287571893216e+01,5.608012810703146001e-03
4.701175293823456514e+01,5.608010053905907594e-03
4.801200300075019101e+01,5.608008287991301209e-03
4.901225306326581688e+01,5.608007156803866688e-03
5.001250312578144985e+01,5.608006432202002935e-03
5.101275318829707572e+01,5.608005968045627274e-03
5.201300325081270870e+01,5.608005670722156742e-03
5.301325331332833457e+01,5.608005480266416154e-03
5.401350337584396755e+01,5.608005358266665574e-03
5.501375343835959342e+01,5.608005280117595026e-03
5.601400350087521929e+01,5.608005230057844410e-03
5.701425356339085226e+01,5.608005197991196462e-03
5.801450362590647813e+01,5.608005177450345324e-03
5.901475368842211111e+01,5.608005164292544087e-03
6.001500375093773698e+01,5.608005155864085635e-03
6.101525381345336996e+01,5.608005150465088413e-03
6.201550387596899583e+01,5.608005147006666496e-03
6.301575393848462880e+01,5.608005144791314463e-03
6.401600400100025468e+01,5.608005143372231729e-03
6.501625406351588765e+01,5.608005142463214944e-03
6.601650412603150642e+01,5.608005141880926386e-03
6.701675418854713939e+01,5.608005141507933083e-03
6.801700425106277237e+01,5.608005141269004415e-03
6.901725431357840534e+01,5.608005141115954099e-03
7.001750437609402411e+01,5.608005141017916202e-03
7.101775443860965709e+01,5.608005140955115743e-03
7.201800450112529006e+01,5.608005140914887506e-03
7.301825456364090883e+01,5.608005140889119056e-03
7.401850462615654180e+01,5.608005140872612294e-03
7.501875468867217478e+01,5.608005140862039155e-03
7.601900475118780776e+01,5.608005140855265060e-03
7.701925481370342652e+01,5.608005140850926516e-03
7.801950487621905950e+01,5.608005140848147489e-03
7.901975493873469247e+01,5.608005140846366796e-03
8.002000500125032545e+01,5.608005140845227082e-03
8.102025506376594421e+01,5.608005140844495896e-03
8.202050512628157719e+01,5.608005140844028388e-03
8.302075518879721017e+01,5.608005140843728281e-03
8.402100525131282893e+01,5.608005140843536594e-03
8.502125531382846191e+01,5.608005140843414296e-03
8.602150537634409488e+01,5.608005140843335366e-03
8.702175543885972786e+01,5.608005140843285059e-03
8.802200550137534663e+01,5.608005140843252100e-03
8.902225556389097960e+01,5.608005140843231283e-03
9.002250562640661258e+01,5.608005140843217405e-03
9.102275568892223134e+01,5.608005140843209599e-03
9.202300575143786432e+01,5.608005140843204395e-03
9.302325581395349730e+01,5.608005140843200058e-03
9.402350587646913027e+01,5.608005140843199191e-03
9.502375593898474904e+01,5.608005140843199191e-03
9.602400600150038201e+01,5.608005140843199191e-03
9.702425606401601499e+01,5.608005140843199191e-03
9.802450612653163375e+01,5.608005140843199191e-03
9.902475618904726673e+01,5.608005140843199191e-03
1.000250062515628997e+02,5.608005140843199191e-03
1.010252563140785327e+02,5.608005140843199191e-03
1.020255063765941514e+02,5.608005140843199191e-03
1.030257564391097844e+02,5.608005140843199191e-03
1.040260065016254174e+02,5.608005140843199191e-03
